NAME	TITLE	SCORE	
KRT78		2.6746337	
NKAIN1		2.6732197	
SEMA4C		2.6731513	
TMEM101		2.672751	
TYMSOS		2.672087	
NTNG1		2.6715553	
ZNF90		2.6641278	
IFNA6		2.6621177	
PLXNB1		2.6608934	
HADHB		2.6606715	
RBP1		2.660108	
BCL11B		2.6592562	
TEX43		2.6579092	
CNIH1		2.6537688	
MOB3A		2.651063	
CATSPERB		2.6493964	
ZNF502		2.6473413	
MAD2L1		2.6469865	
RP11.307P5.1		2.6398532	
ATL1		2.6394336	
MEIS1		2.638952	
ASPG		2.6378095	
KIAA1024L		2.636853	
GSG2		2.635667	
ANKRD42		2.6350808	
GINS1		2.634813	
FAM71C		2.6323016	
SMYD3		2.6319544	
ANKS3		2.631279	
HIGD1C		2.6290224	
ACAD10		2.6275096	
PLXNA2		2.627281	
RNF39		2.6268287	
RNF175		2.6266563	
WAPL		2.6266057	
LTB		2.626314	
NFKBIL1		2.6253674	
CA13		2.6238885	
SLC9A2		2.6230056	
BECN2		2.6206152	
CCDC43		2.6200862	
NDRG1		2.6190443	
MOB4		2.6159787	
OR10A7		2.6158295	
KRT86		2.6154044	
OR5AN1		2.6153948	
PRR19		2.6149418	
SCGB2A1		2.613371	
RGMA		2.6122324	
OR2H2		2.6109433	
UNC13D		2.6109242	
OR52E1		2.609616	
PVRL3		2.6089528	
POU3F4		2.6077607	
DPH5		2.6065257	
GTF2IRD1		2.6059058	
RPL7A		2.6052933	
SPEM1		2.6046772	
CLIP3		2.600477	
LOC151121		2.5994577	
KIF24		2.5972314	
GABRG3		2.5961268	
CNTN5		2.595151	
FIGNL2		2.592317	
ZNF716		2.5909867	
LYZL4		2.5908344	
LSR		2.5906234	
OR8S1		2.5891905	
UNC5C		2.5859084	
DEFA5		2.5851629	
PBK		2.5843298	
HOXC12		2.5837681	
ZNF749		2.57792	
VWA2		2.576973	
IL20RA		2.575098	
WTIP		2.5733182	
HEATR5A		2.572123	
HIST1H3H		2.571391	
GABRA1		2.5667202	
FAM26F		2.5667057	
MRC1		2.5642228	
OR4F5		2.5628877	
OR2M7		2.5620027	
CCNE2		2.5609045	
GPR158.AS1		2.5603251	
SNRPA		2.5600898	
MT1IP		2.5577118	
CYTH1		2.5565438	
SCARA3		2.5539157	
C5orf67		2.5536268	
LOC100129216		2.5522234	
NME8		2.5501366	
SAT2		2.548508	
PPP2R3B		2.5457122	
OR56A4		2.5442908	
MTUS2		2.5434282	
HIST1H3B		2.5430417	
ARHGEF17		2.5414062	
C9orf3		2.5371	
TRAF7		2.5355043	
SEC11A		2.5347478	
FSHR		2.5344427	
OR2A14		2.533865	
NFAM1		2.533262	
AC006128.2		2.5322068	
ERMP1		2.52921	
SYT8		2.5287569	
ECEL1		2.528092	
SPANXA2		2.5227277	
ANP32C		2.5218983	
SUV39H1		2.5204914	
CAPN12		2.518241	
PRRG2		2.5161693	
DUSP21		2.5159786	
KIF15		2.515967	
COL13A1		2.5151818	
ATP13A5.AS1		2.5125544	
ADSSL1		2.5111668	
WIPF2		2.5108533	
FMR1NB		2.509436	
SLC12A5		2.5062613	
CCDC33		2.505851	
EREG		2.5056748	
KIAA1456		2.5034602	
CEP135		2.5030534	
SIN3B		2.502955	
IL17REL		2.5022378	
TP63		2.5014377	
SYPL2		2.4995575	
DNAH11		2.4974444	
CLDN34		2.4971375	
EPYC		2.493643	
ENDOD1		2.4934878	
FTMT		2.4916265	
NFYA		2.4891288	
GLI1		2.4879444	
ALS2CL		2.4869916	
OR1L8		2.4869385	
CBARP		2.4833593	
YBX2		2.4828103	
TPX2		2.4825487	
ZIC2		2.482213	
ZIC3		2.4805522	
KIF2B		2.4796803	
CUTC		2.4794981	
TNF		2.4794393	
ADAMTS10		2.4782443	
SNX11		2.4780092	
FBP1		2.4775145	
TENM1		2.476091	
OR12D2		2.47469	
MBD6		2.471678	
GPD1L		2.4716294	
KEL		2.4712894	
PARP16		2.4702759	
RAB27A		2.4702513	
IFNW1		2.4665644	
OPN3		2.4665554	
NEU2		2.4644244	
IDNK		2.46246	
OR2J3		2.461816	
LHX4		2.4616024	
SPOP		2.4611876	
POU3F3		2.4598622	
MIEF2		2.4593315	
ARHGAP20		2.457165	
RPIA		2.4570947	
DNTT		2.4559495	
DEFB133		2.4547906	
PCP2		2.4536488	
FUK		2.4528081	
SNX3		2.452765	
SULT2B1		2.4524133	
FGF19		2.4498456	
REN		2.4430666	
AXL		2.4427629	
HDAC2		2.4399748	
NR2E1		2.4394476	
AGXT2		2.439357	
C10orf91		2.4389691	
RPGRIP1		2.4383988	
RASL11B		2.4376113	
ILKAP		2.4372826	
MPP4		2.4352996	
CYB561D1		2.4350524	
CHMP3		2.4349012	
LOC102467081		2.4338145	
SLC18A3		2.433703	
SH3YL1		2.432292	
SDE2		2.43147	
OR4E1		2.4309528	
LRRC4C		2.4302309	
PGA3		2.4290934	
RPGR		2.4286468	
DDX46		2.42842	
TMEM104		2.4279776	
DTX2		2.42763	
VPS13D		2.4273634	
MYB.AS1		2.4257457	
PLPPR2		2.424873	
OR11A1		2.4248466	
TTC29		2.4245477	
WDR43		2.4245317	
ARL5B		2.419686	
KRTAP19.8		2.4184735	
C4orf26		2.4180212	
CYP4F22		2.4178097	
GCM2		2.4169729	
ACTL7A		2.4165175	
TFDP3		2.4161727	
LRP1B		2.416056	
CD70		2.4160538	
EPHB4		2.413989	
C2CD4A		2.4111326	
EHF		2.410469	
KY		2.4067745	
THBD		2.4064298	
MTHFSD		2.404573	
BTBD6		2.4045694	
PLSCR2		2.4026313	
SLC22A20		2.4016314	
SSTR1		2.4006872	
TES		2.4005387	
CREG2		2.4001095	
THEG		2.3998616	
PTP4A1		2.3980002	
SHISA6		2.397201	
OPN1LW		2.3955824	
NOS2		2.3953269	
C17orf51		2.394576	
CCDC171		2.390315	
RCC2		2.390108	
CRTAM		2.3880255	
KDM2A		2.3876286	
C19orf48		2.3876228	
ZNF280A		2.3848913	
RFESD		2.384023	
LRRC72		2.3827822	
PEMT		2.3827724	
LINC01219		2.3821979	
C14orf105		2.381647	
ATG9B		2.3816392	
ZMPSTE24		2.3742785	
USP17L26		2.3739965	
OR51A7		2.3732753	
MAGEB16		2.3710907	
SOSTDC1		2.3695898	
OR51I2		2.3689911	
CAPN6		2.3663585	
BID		2.3660116	
LGI4		2.365716	
FHIT		2.3638592	
NEMP1		2.3635685	
SQRDL		2.362737	
PTCHD3		2.361053	
HYAL2		2.3606975	
SIGLEC16		2.35932	
MGME1		2.3578007	
PRSS37		2.3572507	
IDE		2.3559906	
DEFB106A		2.3553038	
ARMC1		2.3542862	
RFK		2.352278	
PITPNM3		2.3520942	
TEX38		2.350683	
SLC43A2		2.348819	
SLC17A4		2.3480253	
SLC27A5		2.3480096	
CDCA8		2.3466587	
CCL7		2.3454578	
NPTX1		2.3427596	
H2AFB3		2.3409622	
KRT18P55		2.3399956	
BFSP1		2.3395696	
TCHH		2.3388243	
CGB7		2.3376698	
CTD.3032H12.2		2.3374817	
TANGO2		2.3374648	
REEP6		2.3360186	
SLITRK3		2.335786	
NOXRED1		2.335176	
SMIM10L1		2.334924	
EXTL1		2.333367	
KRTAP17.1		2.3329394	
HTR1F		2.3323178	
C11orf42		2.3311324	
METTL7B		2.3303378	
EXOC2		2.3300288	
UXS1		2.328866	
ADI1		2.3283644	
C7orf61		2.3270571	
C1QTNF7		2.3251696	
CD28		2.3245835	
LIMK2		2.3244753	
EIF5AL1		2.3237035	
GPC6		2.3236191	
ZNF124		2.320652	
NAPSA		2.3205385	
MAP2K2		2.3199852	
FUNDC1		2.3196297	
MMP7		2.3175826	
TSPAN16		2.3167405	
ST6GAL2		2.3161325	
CAV3		2.3160083	
ZNF740		2.315407	
SDCBP2		2.3151445	
LRRC3		2.3143325	
PIM3		2.3142557	
SLC16A14		2.3140545	
GNGT1		2.3136404	
RPL4		2.3123503	
CSTL1		2.3102999	
DEFB114		2.3084428	
PPP1R1A		2.3078406	
DOPEY1		2.3064816	
C1orf111		2.3057463	
OR13C9		2.304031	
ELK1		2.30303	
FLJ30679		2.302017	
SLC26A5		2.2999618	
NPPB		2.29913	
LRRC49		2.2974887	
MRPL37		2.296975	
BOK		2.2968223	
FAM166A		2.2967174	
C7orf65		2.296658	
KIAA1958		2.296268	
CLCNKB		2.2959054	
DSCR10		2.295102	
FAM127B		2.2942603	
ITGB6		2.2934976	
GML		2.2917209	
ZFP2		2.2906475	
NUDT14		2.2897167	
PEX6		2.2889636	
KRTAP2.2		2.2877853	
SIRPD		2.2875128	
FZD5		2.2869058	
OR5H6		2.2856915	
GTPBP3		2.285452	
PTPN20		2.2838778	
FOXI1		2.2837029	
OR10H4		2.2834098	
PEX19		2.2830155	
FAM111B		2.2821395	
ZNF503.AS2		2.2813032	
C1orf210		2.2809162	
ZNF704		2.2807674	
RNF148		2.2795336	
CCR10		2.2792726	
SHQ1		2.279265	
CENPT		2.276984	
ASB16		2.276958	
CENPA		2.2743895	
TMC8		2.2729073	
SERPINA12		2.272053	
RPL23AP5		2.2717743	
KCNA6		2.2710004	
SCGB2A2		2.2691362	
RCSD1		2.2686388	
CBLN2		2.267133	
CCDC169		2.265967	
UNC13C		2.265111	
FIZ1		2.2617319	
ADGRA3		2.260638	
IL1RL1		2.260212	
RAD21L1		2.2598686	
APOC4.APOC2		2.259255	
POLR2I		2.2585444	
MAP3K10		2.2575986	
PROL1		2.2575443	
LGALS13		2.2566411	
C1QL2		2.256524	
LINC00656		2.255331	
OR13D1		2.2525241	
DUXA		2.25212	
DEPDC7		2.2508042	
KDF1		2.2506812	
KRTAP19.2		2.250031	
XPNPEP2		2.2497475	
SH3BGRL2		2.2484305	
MYO5B		2.2482178	
RFC5		2.2478163	
GFRA4		2.247116	
TTLL3		2.2466176	
RNF4		2.2463932	
CYP4F8		2.2459817	
SMIM6		2.2443755	
FANCA		2.24359	
ARHGEF40		2.242593	
PLEKHN1		2.242236	
SH3D21		2.2422175	
OR10G3		2.241938	
PHYHD1		2.2412724	
RAP1GAP		2.2370336	
TMEM30B		2.236791	
GTDC1		2.235585	
C1orf186		2.2352154	
TNNI3		2.2351458	
CHST4		2.23421	
C17orf100		2.2339191	
GSTM5		2.2338185	
GNAT3		2.2337184	
SOX6		2.2334266	
GLT1D1		2.2333481	
C19orf35		2.2330186	
BTN1A1		2.2294424	
KRTAP12.1		2.2293742	
CSDC2		2.2292335	
LMX1A		2.2277164	
SLAMF7		2.226174	
API5L1		2.2259753	
CACNA1I		2.2257698	
CCNA1		2.2255754	
CHD3		2.2247446	
C20orf78		2.2246013	
HAL		2.224534	
SKIDA1		2.2235415	
OAS3		2.2205825	
DNAL4		2.2205026	
LOC105377348		2.2203887	
TMEM161A		2.2183409	
BRS3		2.2175212	
VPS37B		2.217119	
LILRA5		2.2157252	
TSPAN12		2.2156336	
RAX		2.2153141	
COL20A1		2.2148771	
ABHD12B		2.2136395	
ESYT3		2.2129166	
CRTAP		2.2126164	
SFXN4		2.2125642	
DNAH14		2.2118342	
ZBTB4		2.2116544	
MTAP		2.2104487	
TAS2R16		2.20939	
TNS1		2.2092707	
WNK4		2.208381	
PLD5		2.2079031	
SPAG4		2.2073267	
FKBPL		2.2064042	
UNC119		2.2062309	
IL17RD		2.2042933	
IL1A		2.2039986	
CTDSP1		2.2036622	
PRB4		2.2030146	
ZCCHC16		2.2026277	
SERPINA9		2.2013135	
C4BPA		2.1998906	
OR9A4		2.1992552	
OR8G2		2.1991932	
UBE2F.SCLY		2.19797	
CGB		2.1977298	
ZNF300		2.1970356	
PENK		2.1963189	
PEX13		2.1962924	
NES		2.1962805	
OR4N5		2.1955256	
PAQR7		2.194675	
MCM9		2.1928835	
CA11		2.191052	
UGT3A2		2.1899502	
VCPKMT		2.1887388	
KRTAP20.2		2.1886318	
OC90		2.1885605	
UTS2R		2.187352	
RING1		2.1864502	
AMER2		2.1852293	
ANP32E		2.1848202	
UBE2U		2.183899	
ABO		2.1826572	
IQSEC2		2.182184	
LY6E		2.1819706	
OBSL1		2.179654	
TMEM75		2.1787767	
ZHX2		2.1764238	
OR4F15		2.174615	
QRFPR		2.1746006	
RBBP8		2.1745567	
F13B		2.1745055	
SPRN		2.1744163	
SPANXN3		2.1742082	
C9orf92		2.1740618	
ERVV.2		2.1730294	
PLA2G12B		2.1727417	
FOXQ1		2.1726084	
C8orf82		2.1725645	
C8orf37		2.1701887	
EML2		2.1697056	
HOXD10		2.167998	
NSUN5P1		2.1673603	
NOTUM		2.1673408	
GABRG2		2.1672492	
TENM2		2.1666722	
OPRL1		2.1662536	
TMEM95		2.1623216	
SLC9A4		2.1623135	
MYBL2		2.1620276	
GJB5		2.1615229	
ASB6		2.1608589	
TMEM94		2.1597009	
ETV3L		2.1591597	
NANP		2.158457	
SMLR1		2.1580539	
FZD10		2.1558964	
HOXC9		2.1556118	
DLG3		2.155163	
S100P		2.154637	
PRAMEF8		2.1545851	
FCGR3A		2.1530778	
ZNF597		2.1517773	
ISOC1		2.1512318	
KLC2		2.1497042	
CCL14		2.1494246	
CHRAC1		2.1492722	
SERTAD2		2.1492329	
MRGPRX4		2.1486719	
MRGPRX3		2.1483166	
MRPL4		2.1481814	
SPSB3		2.14796	
FAM167A		2.1463165	
DTX4		2.1448996	
PRPS1L1		2.1441002	
HIST1H4B		2.143736	
C1QL4		2.1432085	
TBL1Y		2.1409826	
LRAT		2.1399689	
DPYS		2.1396217	
OR6M1		2.139611	
SALL2		2.1391697	
POLR1A		2.1391048	
ADAMTS6		2.137283	
TRIM36		2.1370604	
PTPN22		2.1367693	
KRTAP12.2		2.1367419	
ZFP69B		2.1348789	
ZMAT3		2.134055	
CCT7		2.134	
OAZ3		2.1332955	
B3GALNT2		2.1325903	
HAO2		2.1305711	
RFFL		2.1297984	
ANKRD18A		2.1280825	
ALPK3		2.1278806	
NUDT11		2.1268106	
RNASE8		2.1267667	
EPB41L1		2.1266541	
TBC1D29		2.1263716	
PIP5K1A		2.1251814	
PDZD8		2.1243083	
TMSB15B		2.1242478	
LRRC38		2.1227145	
KBTBD13		2.122032	
BOD1L2		2.1214166	
GDF15		2.120141	
HPGDS		2.119467	
OR2T12		2.1185517	
DIS3L2		2.1175392	
IL31		2.1174102	
USH1G		2.1166415	
GPR156		2.1164382	
HNRNPA1P33		2.1157413	
ZNF778		2.1153183	
TMEM182		2.1149817	
BLOC1S3		2.1125572	
BNIP3		2.1120813	
PROKR2		2.1111655	
PWWP2A		2.1109889	
TMEM257		2.1103525	
VPS37C		2.1102812	
SLC38A5		2.1096	
ZNF546		2.1089027	
HSD17B13		2.1080961	
FAM24A		2.10777	
GPBP1L1		2.1071956	
SLC26A3		2.1054628	
ETV4		2.1053116	
OR6C4		2.104398	
XAGE5		2.1043944	
MRPL38		2.1040227	
DUPD1		2.1023118	
CCDC63		2.1018977	
MOGAT2		2.0999029	
SLC5A2		2.0995367	
TAS2R14		2.0993464	
ANKRD18B		2.0992699	
ZNF275		2.0982242	
CHPF		2.0975764	
NPBWR1		2.0969806	
STKLD1		2.096543	
OR51A2		2.0949671	
GFI1B		2.093101	
OR2A25		2.0930412	
FBXO18		2.092905	
FAM221B		2.0924103	
EIF4A3		2.0911584	
SMYD5		2.0910864	
CTAGE1		2.0898988	
MDC1		2.0897353	
WFIKKN2		2.0894566	
KLHL15		2.0894113	
FAM53A		2.088531	
OR52N4		2.0874453	
SLC9B2		2.08687	
CD177		2.0868585	
SRF		2.0862935	
SHC2		2.0862043	
HSPB6		2.0845065	
KLHL38		2.0842667	
CBFB		2.0841722	
LGALS14		2.0838065	
DBH		2.083562	
VPS51		2.0829027	
FAM131B		2.0826738	
AURKB		2.0826118	
GNRH2		2.0823255	
G6PC2		2.0822175	
PRSS23		2.081942	
MOBP		2.081608	
CGB1		2.0813003	
PREB		2.0811894	
ARHGEF25		2.080893	
FRMPD2		2.0808465	
TMEM92		2.0807688	
ORM1		2.0806618	
PLA2G2C		2.080524	
PVALB		2.080082	
OR13H1		2.0790458	
ASIC5		2.0785978	
SIK3		2.0785127	
PLEKHG1		2.0784326	
TMEM105		2.078162	
UNC45B		2.0768607	
IFNA5		2.0764277	
GFOD2		2.0753484	
LOC101928436		2.0745978	
GOLGA8EP		2.0725498	
EPB41L4A.AS2		2.071724	
TMEM215		2.0710957	
LRMP		2.0710938	
FANCB		2.0694954	
SLC35G5		2.066743	
LGALS4		2.066408	
CAMSAP2		2.0657341	
C10orf99		2.06553	
TISP43		2.0651498	
LCE2D		2.0648742	
NOG		2.0623615	
ABHD10		2.0621197	
MMP21		2.0618873	
DLC1		2.0611935	
YIPF2		2.0611393	
ARHGEF2		2.0610878	
FAM220A		2.0609593	
SF3A3		2.0589585	
GPR68		2.0585928	
FKBP1B		2.0584495	
IKBKG		2.0579848	
IL1RAPL1		2.0577426	
FAM83G		2.0571525	
CASP10		2.057093	
NAT2		2.0569746	
THEMIS2		2.0562704	
BEND4		2.0544925	
PWP1		2.0539129	
STX1B		2.0527759	
POU2F3		2.052298	
CLDN14		2.0519025	
LELP1		2.0513487	
HTR2C		2.0507662	
PRSS46		2.050556	
SQSTM1		2.0504565	
HELT		2.0491576	
TUBA8		2.0486593	
GATA6		2.0486155	
POLR3A		2.0481045	
LDOC1L		2.0462353	
MEMO1		2.0458567	
TFAP2B		2.0450773	
KRTAP3.2		2.0449152	
TOMM5		2.0448174	
OR2K2		2.0446424	
OR13C3		2.0437393	
TECPR1		2.0435064	
SERPINA4		2.0428896	
SULT1C3		2.0420225	
RASSF10		2.0412645	
NCCRP1		2.04053	
BPGM		2.0401032	
CTCFL		2.0390942	
NMB		2.0381267	
IL1R1		2.037401	
IGSF3		2.0365078	
DCLRE1C		2.0357444	
DRD5		2.0349174	
CD14		2.0347831	
CARD10		2.0339427	
POC1B		2.0321443	
SLC17A8		2.0307455	
CPNE6		2.0305555	
ALLC		2.0292132	
FOLR2		2.0287678	
SPNS2		2.0284915	
CSRNP1		2.0268025	
CPNE4		2.0267403	
KRTAP10.10		2.0265121	
TRPV3		2.026447	
SEMG1		2.025398	
BACE2		2.0251422	
KCNE3		2.0246327	
SLC16A3		2.0235393	
SH2B1		2.022745	
HJURP		2.0226738	
PLEKHA4		2.0224879	
CALHM2		2.0222883	
SFTA2		2.0208874	
MAN2A2		2.0207608	
VSTM1		2.0203006	
CAMK2A		2.0199833	
PRTN3		2.0197682	
PKDCC		2.0189912	
SLF1		2.017945	
TXLNB		2.0177646	
PQLC2		2.0174253	
EMC1		2.0172722	
SPATA31A5		2.0172403	
OR56A3		2.0170522	
CCP110		2.015148	
OR6C68		2.0147052	
GABRR1		2.0140672	
ASTL		2.0130737	
CLDN17		2.0117855	
SKA1		2.0115566	
SSX4B		2.010866	
LINC01270		2.0101702	
TGIF2LX		2.009637	
TPGS2		2.0085635	
JSRP1		2.0075853	
ZBTB8A		2.0065346	
SEBOX		2.0045812	
CFAP43		2.0043082	
NPB		2.0037117	
GPR155		2.0032325	
CSRP3		2.0024474	
BAD		2.0017521	
CELF5		2.0010135	
CGB5		2.000977	
TMEM140		2.0005217	
ENAM		2.0004337	
PIPOX		1.9994605	
SURF6		1.9990239	
ARC		1.998937	
FOXR1		1.9989259	
NPR3		1.9981047	
ZNF621		1.9971979	
PLCG2		1.9958658	
ZNF214		1.9957938	
HMBOX1		1.9953269	
HPS1		1.9953144	
HMHA1		1.9946345	
FGF21		1.9938037	
EID2B		1.9937407	
GPX6		1.9933989	
VENTX		1.993326	
KCND2		1.9932488	
IFI27L1		1.9927628	
CDH23		1.992758	
NELFB		1.9927503	
PYROXD2		1.9923468	
GOLGA7B		1.991441	
PGA5		1.9904523	
LOC388692		1.989294	
FAN1		1.9885426	
USP17L24		1.987172	
CELSR1		1.9868433	
LBX2		1.9867343	
SYTL1		1.986731	
RDH12		1.9861957	
ZPBP2		1.9861672	
TIMM44		1.9861298	
MIR5195		1.985394	
TNFSF8		1.9847014	
ABHD14B		1.9845067	
ACE2		1.9842645	
AKR1C3		1.984247	
CGA		1.983752	
IDH2		1.983096	
PABPC1		1.9828318	
CDC20B		1.9827884	
DUOX2		1.9821875	
ABCB6		1.9814905	
CCDC121		1.9812521	
CAPZA3		1.9811676	
HIST1H4D		1.9807416	
FANCD2OS		1.979715	
SEMA3D		1.9776199	
EGR4		1.9772115	
CCND3		1.976753	
ZNF519		1.9765086	
TJAP1		1.9761844	
HTR5A		1.9755818	
PDIK1L		1.9754958	
KIAA1161		1.975372	
CHRNE		1.975123	
EHD3		1.975042	
RBM3		1.9744264	
EPB42		1.97361	
MYL4		1.9729663	
LMX1B		1.9728059	
CCDC155		1.9724663	
TPRN		1.9721186	
OR5H2		1.9717698	
OR5C1		1.9714807	
SLC23A3		1.9713172	
COLEC11		1.9712423	
PPP1R3D		1.9711821	
S100A7L2		1.9711426	
OIT3		1.9694647	
IER5L		1.9693408	
AKAP4		1.9675152	
ERGIC3		1.966844	
OR2T35		1.9665565	
CSAG1		1.9663266	
CD1A		1.9661111	
FBXO30		1.9657187	
PLPPR5		1.9649101	
IL25		1.9645734	
KRTAP26.1		1.9642433	
FOXN1		1.9640728	
CYP24A1		1.9639989	
KRTAP27.1		1.9633747	
CHSY3		1.9632062	
OR2L8		1.9622267	
AMN		1.9621127	
LYPD5		1.961204	
OR9A2		1.9606779	
TAS2R39		1.960611	
KIF25.AS1		1.9605981	
GFRAL		1.9605491	
CHRD		1.9601411	
RANBP3L		1.9588455	
COMMD8		1.9587419	
PPM1D		1.958667	
RALGPS1		1.9584858	
GNAZ		1.9578675	
KDM5A		1.9573847	
SRCIN1		1.9573165	
OSGIN1		1.9572957	
NDUFA4L2		1.9568466	
TROAP		1.956822	
LOC102724238		1.9559869	
OR9Q2		1.9552894	
SCN2B		1.9549209	
GNL1		1.9549179	
EPPK1		1.9548355	
ZNF155		1.9539574	
LCTL		1.953938	
ZDHHC8		1.9534397	
MATN3		1.9532118	
OR2Y1		1.9528385	
UPK2		1.9511651	
MEIKIN		1.9503909	
ASCL2		1.9497591	
LIAS		1.9487635	
KRTAP2.1		1.9476352	
MTM1		1.9469615	
PRR29		1.9468712	
RNF40		1.9460564	
TPD52L3		1.9457698	
ANXA1		1.9443828	
TUFT1		1.9440563	
IRF3		1.9431912	
OR7G1		1.9429387	
FOXP4		1.9427211	
FGR		1.9425995	
SBSPON		1.9422503	
TMBIM1		1.9419402	
AMY2B		1.9416753	
ZNRF3		1.9411304	
KRTAP19.5		1.9409434	
PPM1K		1.9409289	
GABRD		1.9407122	
CYP26C1		1.9405437	
HNRNPCL1		1.9387515	
TNFRSF10A		1.9383836	
PRR3		1.9381477	
C19orf70		1.9381335	
GEMIN6		1.9377886	
FAM84A		1.9371452	
INF2		1.9370619	
TMEM121		1.9365602	
LTA		1.9348092	
RSAD1		1.9346467	
MIXL1		1.9346144	
NAT8B		1.9341918	
SLC22A10		1.933752	
LCE5A		1.9334304	
MUC6		1.9332914	
PRRT4		1.9329063	
