NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GO_ENDONUCLEOLYTIC_CLEAVAGE_IN_ITS1_TO_SEPARATE_SSU_RRNA_FROM_5_8S_RRNA_AND_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	10		Rejected!	
GO_ENZYME_DIRECTED_RRNA_PSEUDOURIDINE_SYNTHESIS	6		Rejected!	
GO_MATURATION_OF_5_8S_RRNA	36	35		
GO_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	38	36		
GO_MATURATION_OF_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	15	15		
GO_MATURATION_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	25	25		
GO_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING	28	28		
GO_MATURATION_OF_LSU_RRNA	28	28		
GO_ENDONUCLEOLYTIC_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING	16	16		
GO_ENDONUCLEOLYTIC_CLEAVAGE_IN_5_ETS_OF_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	8		Rejected!	
GO_SMALL_NUCLEOLAR_RIBONUCLEOPROTEIN_COMPLEX_ASSEMBLY	11		Rejected!	
GO_BOX_C_D_SNORNP_ASSEMBLY	9		Rejected!	
GO_EMBRYONIC_AXIS_SPECIFICATION	39	38		
GO_MEIOTIC_MISMATCH_REPAIR	5		Rejected!	
GO_RESOLUTION_OF_MEIOTIC_RECOMBINATION_INTERMEDIATES	18		Rejected!	
GO_NUCLEOTIDE_EXCISION_REPAIR_DNA_DAMAGE_RECOGNITION	23	23		
GO_NUCLEOTIDE_EXCISION_REPAIR_DNA_DUPLEX_UNWINDING	22	22		
GO_TELOMERE_MAINTENANCE_VIA_RECOMBINATION	13		Rejected!	
GO_RECOMBINATIONAL_REPAIR	140	127		
GO_NON_RECOMBINATIONAL_REPAIR	104	76		
GO_DOUBLE_STRAND_BREAK_REPAIR_VIA_BREAK_INDUCED_REPLICATION	12		Rejected!	
GO_DNA_DOUBLE_STRAND_BREAK_PROCESSING	25	23		
GO_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR	53	48		
GO_DNA_STRAND_RENATURATION	8		Rejected!	
GO_DNA_CATABOLIC_PROCESS_ENDONUCLEOLYTIC	34	30		
GO_DNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC	8		Rejected!	
GO_SISTER_CHROMATID_SEGREGATION	196	185		
GO_REGULATION_OF_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS	8		Rejected!	
GO_CELL_MORPHOGENESIS	1041		Rejected!	
GO_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	753		Rejected!	
GO_CYTOKINESIS	172	153		
GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	210	199		
GO_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	6		Rejected!	
GO_MITOCHONDRIAL_RNA_METABOLIC_PROCESS	46	41		
GO_REGULATION_OF_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	5		Rejected!	
GO_MITOCHONDRIAL_RNA_PROCESSING	17	15		
GO_MITOCHONDRIAL_RNA_3_END_PROCESSING	5		Rejected!	
GO_RNA_5_END_PROCESSING	23	22		
GO_RRNA_5_END_PROCESSING	5		Rejected!	
GO_TRANSCRIPTION_DEPENDENT_TETHERING_OF_RNA_POLYMERASE_II_GENE_DNA_AT_NUCLEAR_PERIPHERY	6		Rejected!	
GO_RESPONSE_TO_ACID_CHEMICAL	132	124		
GO_RNA_POLYMERASE_I_PREINITIATION_COMPLEX_ASSEMBLY	9		Rejected!	
GO_REPLICATIVE_CELL_AGING	6		Rejected!	
GO_FORMATION_OF_EXTRACHROMOSOMAL_CIRCULAR_DNA	15		Rejected!	
GO_SKELETAL_SYSTEM_DEVELOPMENT	516	490		
GO_OSSIFICATION	410	381		
GO_NEUROTRANSMITTER_UPTAKE	42	41		
GO_REGULATION_OF_NEUROTRANSMITTER_LEVELS	235	230		
GO_ACTION_POTENTIAL	138	131		
GO_RNA_METHYLATION	84	75		
GO_PSEUDOURIDINE_SYNTHESIS	18	18		
GO_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	122	117		
GO_OVARIAN_FOLLICLE_DEVELOPMENT	57	57		
GO_OVULATION_FROM_OVARIAN_FOLLICLE	9		Rejected!	
GO_ANTRAL_OVARIAN_FOLLICLE_GROWTH	8		Rejected!	
GO_LUTEINIZATION	10		Rejected!	
GO_LUTEOLYSIS	7		Rejected!	
GO_OOCYTE_MATURATION	27	24		
GO_FATTY_ACID_ALPHA_OXIDATION	9		Rejected!	
GO_RESPONSE_TO_PROTOZOAN	27	26		
GO_BRANCHING_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS	36	33		
GO_VASCULOGENESIS	83	79		
GO_GANGLIOSIDE_METABOLIC_PROCESS	22	22		
GO_GANGLIOSIDE_BIOSYNTHETIC_PROCESS	13		Rejected!	
GO_MICROTUBULE_BUNDLE_FORMATION	101	97		
GO_OSTEOBLAST_DIFFERENTIATION	230	207		
GO_UROGENITAL_SYSTEM_DEVELOPMENT	330	325		
GO_METANEPHROS_DEVELOPMENT	91	90		
GO_TEMPERATURE_HOMEOSTASIS	174	174		
GO_FEVER_GENERATION	10		Rejected!	
GO_CONDITIONED_TASTE_AVERSION	5		Rejected!	
GO_AMEBOIDAL_TYPE_CELL_MIGRATION	481	391		
GO_REGULATION_OF_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY	26	24		
GO_ACROSOME_ASSEMBLY	18	16		
GO_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	113	109		
GO_CELLULAR_GLUCOSE_HOMEOSTASIS	153	139		
GO_TRNA_5_LEADER_REMOVAL	13		Rejected!	
GO_HISTAMINE_METABOLIC_PROCESS	6		Rejected!	
GO_GASTRIC_ACID_SECRETION	19	19		
GO_IN_UTERO_EMBRYONIC_DEVELOPMENT	383	377		
GO_GASTRULATION_WITH_MOUTH_FORMING_SECOND	27	26		
GO_FORMATION_OF_PRIMARY_GERM_LAYER	127	120		
GO_ENDODERM_FORMATION	55	54		
GO_CELL_FATE_SPECIFICATION	101	96		
GO_CELL_FATE_DETERMINATION	42	41		
GO_MESODERMAL_CELL_FATE_COMMITMENT	18	18		
GO_ENDODERMAL_CELL_FATE_COMMITMENT	15	15		
GO_ENDODERMAL_CELL_FATE_SPECIFICATION	8		Rejected!	
GO_FORMATION_OF_TRANSLATION_PREINITIATION_COMPLEX	11		Rejected!	
GO_FORMATION_OF_CYTOPLASMIC_TRANSLATION_INITIATION_COMPLEX	16	15		
GO_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM	145	144		
GO_EYE_PHOTORECEPTOR_CELL_DIFFERENTIATION	46	44		
GO_NEURAL_CREST_CELL_MIGRATION	56	56		
GO_SOMITOGENESIS	70	68		
GO_SOMITE_SPECIFICATION	5		Rejected!	
GO_ORGAN_INDUCTION	24	24		
GO_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE	201	196		
GO_NEURON_MIGRATION	164	160		
GO_MEMBRANE_RAFT_ASSEMBLY	12		Rejected!	
GO_ESTABLISHMENT_OF_LYMPHOCYTE_POLARITY	13		Rejected!	
GO_IMMUNOLOGICAL_SYNAPSE_FORMATION	14		Rejected!	
GO_MYELOID_DENDRITIC_CELL_ACTIVATION	29	29		
GO_CELL_ACTIVATION	1475		Rejected!	
GO_LEUKOCYTE_HOMEOSTASIS	86	85		
GO_PLASMA_MEMBRANE_REPAIR	12		Rejected!	
GO_NATURAL_KILLER_CELL_DIFFERENTIATION	22	22		
GO_NEUTROPHIL_HOMEOSTASIS	16	16		
GO_NEUTROPHIL_APOPTOTIC_PROCESS	8		Rejected!	
GO_B_CELL_HOMEOSTASIS	29	29		
GO_B_CELL_APOPTOTIC_PROCESS	26	26		
GO_NATURAL_KILLER_CELL_PROLIFERATION	11		Rejected!	
GO_CYTOKINE_PRODUCTION	880		Rejected!	
GO_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION	368	260		
GO_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	462	433		
GO_SEROTONIN_SECRETION	11		Rejected!	
GO_HISTAMINE_SECRETION	12		Rejected!	
GO_MESONEPHROS_DEVELOPMENT	103	103		
GO_BLASTOCYST_DEVELOPMENT	104	104		
GO_BLASTOCYST_FORMATION	39	39		
GO_INNER_CELL_MASS_CELL_DIFFERENTIATION	7		Rejected!	
GO_TROPHECTODERMAL_CELL_DIFFERENTIATION	15	15		
GO_BLASTOCYST_GROWTH	20	20		
GO_INNER_CELL_MASS_CELL_PROLIFERATION	13		Rejected!	
GO_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA	60	58		
GO_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	152	139		
GO_NEURAL_PLATE_MORPHOGENESIS	7		Rejected!	
GO_NEURAL_PLATE_DEVELOPMENT	10		Rejected!	
GO_NEURAL_TUBE_FORMATION	106	105		
GO_NEURAL_FOLD_FORMATION	7		Rejected!	
GO_PROTEIN_INSERTION_INTO_MITOCHONDRIAL_MEMBRANE_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY	30	30		
GO_PHAGOLYSOSOME_ASSEMBLY	15	15		
GO_NK_T_CELL_DIFFERENTIATION	10		Rejected!	
GO_NK_T_CELL_PROLIFERATION	7		Rejected!	
GO_COMPLEMENT_ACTIVATION_LECTIN_PATHWAY	12		Rejected!	
GO_RECEPTOR_RECYCLING	34	32		
GO_ENDOTHELIAL_CELL_DEVELOPMENT	64	61		
GO_ENDOTHELIAL_CELL_MORPHOGENESIS	14		Rejected!	
GO_SELENIUM_COMPOUND_METABOLIC_PROCESS	5		Rejected!	
GO_PLACENTA_DEVELOPMENT	156	153		
GO_EMBRYONIC_PLACENTA_DEVELOPMENT	89	88		
GO_MATERNAL_PLACENTA_DEVELOPMENT	36	36		
GO_TISSUE_HOMEOSTASIS	261	251		
GO_RETINA_HOMEOSTASIS	78	72		
GO_CELL_KILLING	172	158		
GO_LEUKOCYTE_MEDIATED_CYTOTOXICITY	108	97		
GO_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	75	65		
GO_NEGATIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	20	15		
GO_T_CELL_MEDIATED_CYTOTOXICITY	44	36		
GO_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	35	27		
GO_NEGATIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	7		Rejected!	
GO_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	28	20		
GO_REGULATION_OF_RECEPTOR_RECYCLING	23	23		
GO_POSITIVE_REGULATION_OF_RECEPTOR_RECYCLING	14		Rejected!	
GO_B_1_B_CELL_DIFFERENTIATION	5		Rejected!	
GO_ENDOTHELIAL_CELL_PROLIFERATION	199	140		
GO_NEGATIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION	81	37		
GO_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION	113	92		
GO_POSTSYNAPTIC_MEMBRANE_ORGANIZATION	41	40		
GO_VASCULATURE_DEVELOPMENT	826		Rejected!	
GO_LYMPH_VESSEL_DEVELOPMENT	26	26		
GO_LYMPHANGIOGENESIS	15	15		
GO_REGULATION_OF_CELL_MATRIX_ADHESION	125	119		
GO_NEGATIVE_REGULATION_OF_CELL_MATRIX_ADHESION	43	37		
GO_POSITIVE_REGULATION_OF_CELL_MATRIX_ADHESION	55	55		
GO_BLOOD_VESSEL_MATURATION	8		Rejected!	
GO_POSITIVE_REGULATION_OF_NEUROTRANSMITTER_SECRETION	23	23		
GO_SYNAPTIC_TRANSMISSION_DOPAMINERGIC	27	26		
GO_STARTLE_RESPONSE	28	27		
GO_SUCKLING_BEHAVIOR	13		Rejected!	
GO_BLOOD_VESSEL_REMODELING	45	40		
GO_RESPONSE_TO_AMPHETAMINE	33	33		
GO_NERVOUS_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE	12		Rejected!	
GO_RENAL_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_BLOOD_VOLUME	16	16		
GO_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_HORMONE	40	39		
GO_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_CIRCULATORY_RENIN_ANGIOTENSIN	19	18		
GO_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_VASOPRESSIN	5		Rejected!	
GO_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_NOREPINEPHRINE_EPINEPHRINE	9		Rejected!	
GO_RENIN_SECRETION_INTO_BLOOD_STREAM	6		Rejected!	
GO_REGULATION_OF_ANGIOTENSIN_LEVELS_IN_BLOOD	12		Rejected!	
GO_MORPHOGENESIS_OF_AN_EPITHELIUM	554		Rejected!	
GO_MORPHOGENESIS_OF_AN_EPITHELIAL_SHEET	58	53		
GO_REGULATION_OF_BLOOD_VOLUME_BY_RENIN_ANGIOTENSIN	8		Rejected!	
GO_RESPONSE_TO_DIETARY_EXCESS	27	27		
GO_REDUCTION_OF_FOOD_INTAKE_IN_RESPONSE_TO_DIETARY_EXCESS	5		Rejected!	
GO_DIET_INDUCED_THERMOGENESIS	12		Rejected!	
GO_REGULATION_OF_THE_FORCE_OF_HEART_CONTRACTION	27	26		
GO_REGULATION_OF_HEART_RATE	104	96		
GO_REGULATION_OF_SODIUM_ION_TRANSPORT	88	86		
GO_G_PROTEIN_COUPLED_RECEPTOR_INTERNALIZATION	17	17		
GO_REGULATION_OF_L_GLUTAMATE_IMPORT_ACROSS_PLASMA_MEMBRANE	6		Rejected!	
GO_SPROUTING_ANGIOGENESIS	196	114		
GO_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	103	53		
GO_BLOOD_VESSEL_ENDOTHELIAL_CELL_PROLIFERATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	58	22		
GO_POSITIVE_REGULATION_OF_NEUROBLAST_PROLIFERATION	23	23		
GO_POSITIVE_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION	25	25		
GO_CHONDROCYTE_DIFFERENTIATION	107	98		
GO_CHONDROCYTE_DEVELOPMENT	31	28		
GO_EPITHELIAL_CELL_DEVELOPMENT	221	211		
GO_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_DIFFERENTIATION	121	113		
GO_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_DEVELOPMENT	64	57		
GO_GLANDULAR_EPITHELIAL_CELL_DIFFERENTIATION	49	46		
GO_GLANDULAR_EPITHELIAL_CELL_DEVELOPMENT	26	24		
GO_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_MATURATION	7		Rejected!	
GO_EPITHELIAL_CELL_MATURATION	16	15		
GO_OPTIC_CUP_MORPHOGENESIS_INVOLVED_IN_CAMERA_TYPE_EYE_DEVELOPMENT	8		Rejected!	
GO_OSTEOBLAST_DEVELOPMENT	19	18		
GO_REGULATION_OF_OXIDATIVE_PHOSPHORYLATION	32	28		
GO_PROTEIN_DEPALMITOYLATION	9		Rejected!	
GO_INHIBITION_OF_NEUROEPITHELIAL_CELL_DIFFERENTIATION	5		Rejected!	
GO_REGULATION_OF_RESPIRATORY_GASEOUS_EXCHANGE_BY_NERVOUS_SYSTEM_PROCESS	13		Rejected!	
GO_LENS_DEVELOPMENT_IN_CAMERA_TYPE_EYE	83	80		
GO_LENS_MORPHOGENESIS_IN_CAMERA_TYPE_EYE	22	20		
GO_REGULATION_OF_RECEPTOR_INTERNALIZATION	57	55		
GO_NEGATIVE_REGULATION_OF_RECEPTOR_INTERNALIZATION	15		Rejected!	
GO_POSITIVE_REGULATION_OF_RECEPTOR_INTERNALIZATION	25	25		
GO_AUDITORY_RECEPTOR_CELL_MORPHOGENESIS	16		Rejected!	
GO_TRNA_WOBBLE_BASE_MODIFICATION	22	18		
GO_TRNA_WOBBLE_URIDINE_MODIFICATION	18	15		
GO_STORE_OPERATED_CALCIUM_ENTRY	21	19		
GO_AGGRESSIVE_BEHAVIOR	8		Rejected!	
GO_THYROID_HORMONE_MEDIATED_SIGNALING_PATHWAY	7		Rejected!	
GO_REGULATION_OF_THYROID_HORMONE_MEDIATED_SIGNALING_PATHWAY	5		Rejected!	
GO_OSTEOCLAST_PROLIFERATION	9		Rejected!	
GO_PROTEIN_LOCALIZATION_TO_PARANODE_REGION_OF_AXON	5		Rejected!	
GO_CYTOPLASMIC_TRANSLATION	103	98		
GO_CYTOPLASMIC_TRANSLATIONAL_ELONGATION	11		Rejected!	
GO_CYTOPLASMIC_TRANSLATIONAL_INITIATION	35	33		
GO_CAP_INDEPENDENT_TRANSLATIONAL_INITIATION	5		Rejected!	
GO_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS	77	69		
GO_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	142	138		
GO_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	201	188		
GO_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	152	143		
GO_INNATE_IMMUNE_RESPONSE_IN_MUCOSA	26	17		
GO_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY	66	57		
GO_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE_TO_VIRUS_BY_HOST	29	26		
GO_LEUKOCYTE_CHEMOTAXIS_INVOLVED_IN_INFLAMMATORY_RESPONSE	6		Rejected!	
GO_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	356	333		
GO_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION	172	168		
GO_WOUND_HEALING_INVOLVED_IN_INFLAMMATORY_RESPONSE	8		Rejected!	
GO_LYMPHOCYTE_ANERGY	5		Rejected!	
GO_ADAPTIVE_IMMUNE_RESPONSE	687	386		
GO_ORGAN_OR_TISSUE_SPECIFIC_IMMUNE_RESPONSE	41	31		
GO_IMMUNE_EFFECTOR_PROCESS	1292		Rejected!	
GO_ACTIVATION_OF_IMMUNE_RESPONSE	561	428		
GO_LYMPHOCYTE_HOMEOSTASIS	62	62		
GO_MYELOID_CELL_HOMEOSTASIS	154	149		
GO_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	720		Rejected!	
GO_LEUKOCYTE_ACTIVATION_INVOLVED_IN_INFLAMMATORY_RESPONSE	50	45		
GO_MYELOID_LEUKOCYTE_ACTIVATION	662		Rejected!	
GO_MACROPHAGE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	15		Rejected!	
GO_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	187	179		
GO_T_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	109	107		
GO_ALPHA_BETA_T_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	63	62		
GO_T_CELL_ACTIVATION_VIA_T_CELL_RECEPTOR_CONTACT_WITH_ANTIGEN_BOUND_TO_MHC_MOLECULE_ON_ANTIGEN_PRESENTING_CELL	10		Rejected!	
GO_T_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE	71	70		
GO_T_HELPER_CELL_LINEAGE_COMMITMENT	16	16		
GO_B_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	80	75		
GO_MATURE_B_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE	22	21		
GO_GERMINAL_CENTER_B_CELL_DIFFERENTIATION	6		Rejected!	
GO_MARGINAL_ZONE_B_CELL_DIFFERENTIATION	9		Rejected!	
GO_MYELOID_PROGENITOR_CELL_DIFFERENTIATION	5		Rejected!	
GO_LYMPHOID_PROGENITOR_CELL_DIFFERENTIATION	20	19		
GO_B_CELL_PROLIFERATION_INVOLVED_IN_IMMUNE_RESPONSE	6		Rejected!	
GO_NATURAL_KILLER_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	31	30		
GO_B_CELL_LINEAGE_COMMITMENT	6		Rejected!	
GO_IMMATURE_B_CELL_DIFFERENTIATION	10		Rejected!	
GO_PRO_B_CELL_DIFFERENTIATION	11		Rejected!	
GO_PRE_B_CELL_DIFFERENTIATION	5		Rejected!	
GO_MATURE_B_CELL_DIFFERENTIATION	28	27		
GO_RESPONSE_TO_TUMOR_CELL	26	23		
GO_HISTAMINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE	8		Rejected!	
GO_T_CELL_LINEAGE_COMMITMENT	28	28		
GO_CD4_POSITIVE_CD25_POSITIVE_ALPHA_BETA_REGULATORY_T_CELL_DIFFERENTIATION	6		Rejected!	
GO_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	104	98		
GO_T_CELL_CYTOKINE_PRODUCTION	43	41		
GO_NATURAL_KILLER_CELL_CYTOKINE_PRODUCTION	9		Rejected!	
GO_DENDRITIC_CELL_CYTOKINE_PRODUCTION	13		Rejected!	
GO_MYELOID_DENDRITIC_CELL_CYTOKINE_PRODUCTION	6		Rejected!	
GO_IMMUNOGLOBULIN_PRODUCTION	209	106		
GO_IMMUNOGLOBULIN_PRODUCTION_INVOLVED_IN_IMMUNOGLOBULIN_MEDIATED_IMMUNE_RESPONSE	61	54		
GO_MHC_PROTEIN_COMPLEX_ASSEMBLY	7		Rejected!	
GO_DENDRITIC_CELL_CHEMOTAXIS	24	24		
GO_IMMUNE_RESPONSE_TO_TUMOR_CELL	20	18		
GO_NATURAL_KILLER_CELL_MEDIATED_IMMUNE_RESPONSE_TO_TUMOR_CELL	9		Rejected!	
GO_T_CELL_MEDIATED_IMMUNE_RESPONSE_TO_TUMOR_CELL	6		Rejected!	
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_IB	7		Rejected!	
GO_COMPLEMENT_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	13		Rejected!	
GO_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY	144	84		
GO_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	64	53		
GO_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	24	21		
GO_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE	305	197		
GO_LEUKOCYTE_MEDIATED_IMMUNITY	885		Rejected!	
